Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,9124,1233B-GR,1233B,1233B,INF209KA1FX2,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,26-03-2014 00:00:00,N,0,N,0,B1233B
B,9126,1233C-DP,1233C,1233C,INF209KA1FZ7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,26-03-2014 00:00:00,N,0,N,0,B1233C
B,9128,1234A-DP,1234A,1234A,INF209KA1GE0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,27-03-2014 00:00:00,N,0,N,0,B1234A
B,9127,1234B-GR,1234B,1234B,INF209KA1GD2,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,27-03-2014 00:00:00,N,0,N,0,B1234B
B,9129,1234C-DP,1234C,1234C,INF209KA1GF7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,27-03-2014 00:00:00,N,0,N,0,B1234C
B,9211,1235A-DP,1235A,1235A,INF209KA1GK7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-04-2014 00:00:00,N,0,N,0,B1235A
B,9210,1235B-GR,1235B,1235B,INF209KA1GJ9,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,04-04-2014 00:00:00,N,0,N,0,B1235B
B,9212,1235C-DP,1235C,1235C,INF209KA1GL5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-04-2014 00:00:00,N,0,N,0,B1235C
B,9214,1236A-DP,1236A,1236A,INF209KA1GQ4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1236A
B,9213,1236B-GR,1236B,1236B,INF209KA1GP6,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1236B
B,9215,1236C-DP,1236C,1236C,INF209KA1GR2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1236C
B,9266,1237A-DP,1237A,1237A,INF209KA1HC2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,10-04-2014 00:00:00,N,0,N,0,B1237A
B,9265,1237B-GR,1237B,1237B,INF209KA1HB4,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,10-04-2014 00:00:00,N,0,N,0,B1237B
B,9267,1237C-DP,1237C,1237C,INF209KA1HD0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,10-04-2014 00:00:00,N,0,N,0,B1237C
B,9217,1238A-DP,1238A,1238A,INF209KA1GW2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1238A
B,9216,1238B-GR,1238B,1238B,INF209KA1GV4,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1238B
B,9218,1238C-DP,1238C,1238C,INF209KA1GX0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,09-04-2014 00:00:00,N,0,N,0,B1238C
B,9292,1239B-GR,1239B,1239B,INF209KA1HI9,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,11-04-2014 00:00:00,N,0,N,0,B1239B
B,9311,1240A-DP,1240A,1240A,INF209KA1HK5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,17-04-2014 00:00:00,N,0,N,0,B1240A
B,9310,1240B-GR,1240B,1240B,INF209KA1HJ7,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,17-04-2014 00:00:00,N,0,N,0,B1240B
B,9312,1240C-DP,1240C,1240C,INF209KA1HL3,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,17-04-2014 00:00:00,N,0,N,0,B1240C
B,9351,1241A-DP,1241A,1241A,INF209KA1HQ2,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,23-04-2014 00:00:00,N,0,N,0,B1241A
B,9350,1241B-GR,1241B,1241B,INF209KA1HP4,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,23-04-2014 00:00:00,N,0,N,0,B1241B
B,9352,1241C-DP,1241C,1241C,INF209KA1HR0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,23-04-2014 00:00:00,N,0,N,0,B1241C
B,9366,1242A-DP,1242A,1242A,INF209KA1HW0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1242A
B,9365,1242B-GR,1242B,1242B,INF209KA1HV2,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1242B
B,9367,1242C-DP,1242C,1242C,INF209KA1HX8,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1242C
B,9369,1243A-DP,1243A,1243A,INF209KA1IC0,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1243A
B,9368,1243B-GR,1243B,1243B,INF209KA1IB2,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1243B
B,9370,1243C-DP,1243C,1243C,INF209KA1ID8,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1243C
B,9372,1244A-DP,1244A,1244A,INF209KA1II7,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1244A
B,9371,1244B-GR,1244B,1244B,INF209KA1IH9,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1244B
B,9373,1244C-DP,1244C,1244C,INF209KA1IJ5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-04-2014 00:00:00,N,0,N,0,B1244C
